ts_year,model,te_true,te_hat,error
1900,cf,15.08856624160038,16.0180574079906,0.9294911663902194
1901,cf,15.040553456514571,16.220113491527147,1.1795600350125763
1902,cf,14.970647447867396,16.4801533677265,1.5095059198591052
1903,cf,14.541708078011725,16.018913679773387,1.4772056017616624
1904,cf,15.301964713650628,16.73523630336493,1.4332715897143
1905,cf,15.324423742295664,15.7736463053158,0.4492225630201361
1906,cf,15.699297940148847,15.615791768061893,-0.08350617208695432
1907,cf,14.778999794116139,15.977846448733011,1.1988466546168723
1908,cf,14.482294379751643,15.606622616055073,1.1243282363034304
1909,cf,15.271045354385704,16.16468295240504,0.8936375980193372
1910,cf,14.903035838626694,16.04931549867618,1.1462796600494851
1911,cf,15.581982169801204,15.97476664612291,0.3927844763217063
1912,cf,15.470281535438668,16.15245135599822,0.6821698205595528
1913,cf,15.811648117483116,16.170938939742808,0.3592908222596911
1914,cf,15.53841318691662,16.339783852141114,0.8013706652244945
1915,cf,15.722687234800073,16.608171943359256,0.8854847085591828
1916,cf,16.22549477849375,16.05314482849461,-0.17234994999914122
1917,cf,15.508088188601116,16.28288588101764,0.7747976924165254
1918,cf,15.835546037924589,16.019081279699535,0.18353524177494585
1919,cf,16.147376305225578,16.198226832147025,0.050850526921447425
1920,cf,16.790546238101104,16.59868157925394,-0.19186465884716242
1921,cf,15.94879862771876,16.69004733405393,0.7412487063351687
1922,cf,16.009219464167458,16.73661445061031,0.727394986442853
1923,cf,16.2286720484312,16.388805057761953,0.16013300933075314
1924,cf,16.70294034727319,17.36121530975941,0.6582749624862174
1925,cf,16.53325651117625,16.665162960760902,0.13190644958465114
1926,cf,17.387216320296854,17.65489603313255,0.26767971283569736
1927,cf,17.19246694016071,16.879615886597602,-0.31285105356310794
1928,cf,18.021114376572424,16.746651020149088,-1.274463356423336
1929,cf,18.272069325827236,17.137985319473536,-1.1340840063536994
1930,cf,17.258431021123407,16.724239575383393,-0.5341914457400136
1931,cf,17.18687491853924,17.476228370892763,0.2893534523535237
1932,cf,17.372332551591974,17.04420922923659,-0.32812332235538477
1933,cf,18.052379957980033,17.42296839071663,-0.6294115672634035
1934,cf,18.42285574409525,17.618113042709922,-0.8047427013853294
1935,cf,18.47853022580181,17.381169501389806,-1.0973607244120025
1936,cf,18.424116332317585,17.2665944885471,-1.1575218437704855
1937,cf,18.646906973166836,17.852756520452644,-0.7941504527141916
1938,cf,18.641238227806216,18.444608082319128,-0.19663014548708801
1939,cf,19.87060214953351,18.65953341834922,-1.211068731184291
1940,cf,17.75405438100015,16.54834899615431,-1.2057053848458388
1941,cf,19.42617107769829,17.145453402557575,-2.280717675140714
1942,cf,20.68967469249963,19.004959064420515,-1.6847156280791147
1943,cf,19.024395189153534,17.514066439442356,-1.510328749711178
1944,cf,20.450602847974867,18.471816457147195,-1.978786390827672
1945,cf,20.309475601961697,18.601274723626553,-1.7082008783351448
