ts_year,model,te_true,te_hat,error
1900,dml,15.08856624160038,9.25430047002094,-5.834265771579441
1901,dml,15.040553456514571,9.119542762441709,-5.921010694072862
1902,dml,14.970647447867396,8.680830147463224,-6.289817300404172
1903,dml,14.541708078011725,8.918205499526527,-5.623502578485198
1904,dml,15.301964713650628,9.288387029987787,-6.013577683662842
1905,dml,15.324423742295664,8.393286797989136,-6.9311369443065285
1906,dml,15.699297940148847,10.472007055912714,-5.227290884236133
1907,dml,14.778999794116139,9.849894037028506,-4.929105757087633
1908,dml,14.482294379751643,8.190601107033471,-6.291693272718172
1909,dml,15.271045354385704,8.701905463683625,-6.569139890702079
1910,dml,14.903035838626694,8.05363857530331,-6.849397263323384
1911,dml,15.581982169801204,10.550007108934443,-5.0319750608667615
1912,dml,15.470281535438668,9.466506852094705,-6.003774683343963
1913,dml,15.811648117483116,9.303644231195475,-6.508003886287641
1914,dml,15.53841318691662,9.54862381263631,-5.98978937428031
1915,dml,15.722687234800073,10.22701654998043,-5.495670684819643
1916,dml,16.22549477849375,9.981966676772853,-6.243528101720898
1917,dml,15.508088188601116,9.254540504643208,-6.253547683957908
1918,dml,15.835546037924589,9.662759278918191,-6.172786759006398
1919,dml,16.147376305225578,9.730096417366106,-6.417279887859472
1920,dml,16.790546238101104,11.124436883877092,-5.666109354224012
1921,dml,15.94879862771876,11.350612110070136,-4.5981865176486245
1922,dml,16.009219464167458,10.060853681612473,-5.948365782554985
1923,dml,16.2286720484312,9.530211042738859,-6.698461005692341
1924,dml,16.70294034727319,10.477429780354711,-6.22551056691848
1925,dml,16.53325651117625,10.865646983430162,-5.667609527746089
1926,dml,17.387216320296854,12.007560352279254,-5.3796559680176
1927,dml,17.19246694016071,12.108620868976807,-5.083846071183903
1928,dml,18.021114376572424,12.561508157615739,-5.459606218956685
1929,dml,18.272069325827236,12.650386565852175,-5.6216827599750605
1930,dml,17.258431021123407,12.089094706568114,-5.169336314555293
1931,dml,17.18687491853924,11.556708772372923,-5.6301661461663155
1932,dml,17.372332551591974,11.63414598377802,-5.738186567813955
1933,dml,18.052379957980033,12.80486499059762,-5.247514967382413
1934,dml,18.42285574409525,12.579561411365402,-5.843294332729849
1935,dml,18.47853022580181,12.869966392126498,-5.60856383367531
1936,dml,18.424116332317585,12.376793345380554,-6.047322986937031
1937,dml,18.646906973166836,13.639666222254764,-5.0072407509120715
1938,dml,18.641238227806216,13.810806505161842,-4.830431722644374
1939,dml,19.87060214953351,14.503864723425394,-5.366737426108116
1940,dml,17.75405438100015,12.925605242689736,-4.828449138310413
1941,dml,19.42617107769829,14.587192909131874,-4.838978168566415
1942,dml,20.68967469249963,15.15803362253514,-5.53164106996449
1943,dml,19.024395189153534,14.455635587664885,-4.568759601488649
1944,dml,20.450602847974867,15.21799976340424,-5.232603084570627
1945,dml,20.309475601961697,15.879847578864211,-4.429628023097486
1946,dml,19.967700369458687,15.734710768736187,-4.232989600722499
1947,dml,20.443146953097962,15.05098395610971,-5.392162996988253
1948,dml,20.82811752667494,15.370070638783636,-5.458046887891305
1949,dml,21.748473003201628,17.38895591756268,-4.359517085638949
1950,dml,21.65695701659506,17.660861648409913,-3.9960953681851485
1951,dml,23.22317778042497,18.720434432198182,-4.502743348226787
1952,dml,22.344125061709224,17.591892800196938,-4.752232261512287
1953,dml,22.2539897432517,17.283092556742496,-4.970897186509205
1954,dml,22.924584482666404,18.90047490296956,-4.0241095796968445
1955,dml,22.736213897165097,18.674860460298227,-4.06135343686687
1956,dml,22.421068305417975,18.872535175297607,-3.5485331301203686
1957,dml,24.36443048861146,19.318537410001213,-5.0458930786102485
1958,dml,23.273202392446773,19.141979778701355,-4.131222613745418
1959,dml,23.016119727636543,18.10738031685323,-4.908739410783312
1960,dml,26.263617009428824,23.681618429782976,-2.5819985796458482
1961,dml,24.43143708702092,21.132863251931457,-3.2985738350894636
1962,dml,24.807865597689414,21.0456107630349,-3.762254834654513
1963,dml,26.172102382643153,23.185418046643022,-2.986684336000131
1964,dml,26.22449963779567,22.596863568828244,-3.6276360689674263
1965,dml,27.78419617898302,24.679183911005076,-3.105012267977944
1966,dml,26.67962284034859,23.129266877450508,-3.550355962898081
1967,dml,27.431260356235125,23.368237054745126,-4.063023301489999
1968,dml,26.26104621286209,23.840789532150158,-2.4202566807119332
1969,dml,27.720955644430944,23.743041022311225,-3.9779146221197195
1970,dml,29.057774517325825,25.391008438864347,-3.666766078461478
1971,dml,29.379301208088314,24.977274418463534,-4.402026789624781
1972,dml,28.227500687929997,23.852838919503792,-4.374661768426204
1973,dml,28.220673390323167,25.275690033221462,-2.9449833571017052
1974,dml,30.737063770681186,27.985116522973943,-2.7519472477072426
1975,dml,30.031755239710414,25.949253671332727,-4.082501568377687
1976,dml,30.20841774845242,27.957200260390493,-2.2512174880619256
1977,dml,31.846411488196107,29.32352467809102,-2.5228868101050885
1978,dml,30.2749626176798,26.686127456173306,-3.588835161506495
1979,dml,31.93420536773781,28.34869493880821,-3.5855104289295987
1980,dml,31.417493534866246,27.24027970695293,-4.177213827913317
1981,dml,32.73597689563027,29.35035475618911,-3.385622139441164
1982,dml,32.92736274294112,32.195337622135526,-0.732025120805595
1983,dml,33.31423794181525,31.34843487467799,-1.9658030671372586
1984,dml,33.816579652750974,29.154186600251883,-4.662393052499091
1985,dml,35.82597730965861,32.12903093310224,-3.696946376556369
1986,dml,34.27249495345775,32.54056781947451,-1.7319271339832412
1987,dml,34.80855208628218,32.63538775764848,-2.173164328633696
1988,dml,33.339074691115066,30.3748106764147,-2.9642640147003654
1989,dml,36.51667008494727,31.483443663897905,-5.033226421049367
1990,dml,37.40580864817838,34.75364596158139,-2.652162686596988
1991,dml,37.57087051011583,32.08836738608902,-5.482503124026813
1992,dml,39.76602772148983,38.545678168321466,-1.2203495531683615
1993,dml,39.518483825823736,37.8939367693277,-1.6245470564960343
1994,dml,38.1080140024928,37.27585223644205,-0.8321617660507528
1995,dml,37.77910744648507,34.520492579416434,-3.258614867068637
1996,dml,38.69510587334706,35.302308252738605,-3.392797620608455
1997,dml,38.63510795705208,36.01964221671918,-2.615465740332901
1998,dml,39.16481934319819,38.43484830393901,-0.7299710392591763
1999,dml,41.79628781178817,36.50608358879437,-5.2902042229938
