ts_year,model,te_true,te_hat,error
1900,knn,42.341032074666266,-1.7344714638499412,-44.07550353851621
1901,knn,36.16718764518056,1.8725083010213197,-34.29467934415924
1902,knn,36.170830953106574,3.6004204247095317,-32.57041052839704
1903,knn,38.914791802187864,1.333286374413731,-37.58150542777413
1904,knn,40.142451338072824,2.9751569064223964,-37.167294431650426
1905,knn,30.819567533854787,1.715130049456445,-29.104437484398343
1906,knn,35.75395101476936,3.4310871052589507,-32.32286390951041
1907,knn,41.33295708567416,3.9383947725266877,-37.394562313147475
1908,knn,31.315565780450914,2.5246388090267775,-28.790926971424135
1909,knn,31.67970078951507,-1.8005192544934818,-33.480220044008554
1910,knn,30.144943370876994,3.4398193515691875,-26.705124019307807
1911,knn,28.22191652679319,-0.15002057526393858,-28.371937102057128
1912,knn,34.693505553907656,1.6537251739665897,-33.039780379941064
1913,knn,27.89746254646088,-0.6474057828818334,-28.544868329342712
1914,knn,27.618349542565625,1.9611503009129716,-25.657199241652652
1915,knn,27.9621708077001,0.44299186914129624,-27.519178938558806
1916,knn,30.100102967076502,4.609122044314091,-25.49098092276241
1917,knn,28.350786492484456,-0.5165086316751527,-28.867295124159607
1918,knn,27.08393027776246,-2.610257609945892,-29.694187887708352
1919,knn,23.934607191546366,3.0162066794370355,-20.91840051210933
1920,knn,23.93263567478793,1.3673788379212493,-22.56525683686668
1921,knn,27.127465776649043,-1.148051236325112,-28.275517012974156
1922,knn,20.5839350930189,1.5759708933349754,-19.007964199683926
1923,knn,21.50132718904634,0.83211070133054,-20.6692164877158
1924,knn,21.597731337258686,0.8909866360189528,-20.706744701239735
1925,knn,21.997723163713168,5.067770092630183,-16.929953071082984
1926,knn,19.44629252375596,0.1170995030524012,-19.32919302070356
1927,knn,18.015848320187168,3.7317773354300554,-14.284070984757111
1928,knn,23.055303364256716,4.233870872054299,-18.82143249220242
1929,knn,15.635416459289788,1.8409322455560846,-13.794484213733703
1930,knn,14.461651157294154,2.716095748295012,-11.745555408999142
1931,knn,17.508017431416736,-2.194327596399559,-19.702345027816296
1932,knn,17.981074295287,3.740409207147461,-14.24066508813954
1933,knn,14.475765556423772,-0.5737882053679192,-15.04955376179169
1934,knn,16.13745216271467,-0.09167789621572273,-16.22913005893039
1935,knn,11.567162849873766,0.7425275654491471,-10.824635284424618
1936,knn,11.090661532699224,1.0310345893467603,-10.059626943352464
1937,knn,12.846090845779296,-1.9820070289522027,-14.828097874731498
1938,knn,16.42729066156208,-0.10222430666214215,-16.52951496822422
1939,knn,9.26413578515514,0.8252976826222435,-8.438838102532896
1940,knn,8.457244898288495,-1.72509194525931,-10.182336843547805
1941,knn,9.418629808810342,0.6626842459423483,-8.755945562867995
1942,knn,7.605095605262793,0.6435486985007199,-6.961546906762074
1943,knn,9.50029509364512,-0.6005493100819983,-10.100844403727118
1944,knn,7.124556253103423,1.6168561219878026,-5.50770013111562
1945,knn,7.1403541627928435,0.13494999935293175,-7.005404163439912
1946,knn,10.493678580307568,-0.3709023258640259,-10.864580906171595
1947,knn,4.7958902540178565,-0.28951472862703376,-5.08540498264489
1948,knn,4.161945116188112,-0.044808998146478624,-4.206754114334591
1949,knn,2.9798866613234165,1.1641749221719375,-1.815711739151479
1950,knn,3.8866396164388606,-1.2593676793063748,-5.146007295745235
1951,knn,5.763937918767933,2.3762413032961964,-3.3876966154717367
1952,knn,8.14698799368435,0.446979485240926,-7.700008508443424
1953,knn,5.380273728886435,1.0323661561080582,-4.347907572778377
1954,knn,7.683589012398339,-1.9091244315641227,-9.592713443962461
1955,knn,8.12582701548647,-3.8645938505593365,-11.990420866045806
1956,knn,6.807853803244876,0.6309838877544881,-6.176869915490387
1957,knn,11.932473538145166,3.121816155976649,-8.810657382168516
1958,knn,8.65521256652169,2.4004879032418853,-6.254724663279806
1959,knn,10.429593203414381,0.8209308036347267,-9.608662399779654
1960,knn,9.750002125737701,2.1921345383758375,-7.557867587361864
1961,knn,11.906354928513291,-1.1499887940663303,-13.056343722579621
1962,knn,10.064477415518652,-1.0267397453511764,-11.091217160869828
1963,knn,13.09604063629445,-1.3401103623194244,-14.436150998613876
1964,knn,11.386248915027958,-0.41790088168293904,-11.804149796710897
1965,knn,15.476147609730807,1.7751046839802662,-13.70104292575054
1966,knn,14.048031064344366,6.085866686769035,-7.9621643775753315
1967,knn,7.680677699987669,0.3255028114064823,-7.355174888581186
1968,knn,17.161964144116084,2.3404935918809233,-14.82147055223516
1969,knn,18.249802365707357,4.4205152236312575,-13.8292871420761
1970,knn,18.646127285030033,-0.28688043854056794,-18.9330077235706
1971,knn,12.759834067487551,2.423841068708132,-10.33599299877942
1972,knn,18.573558815762112,0.1443268797566061,-18.429231936005507
1973,knn,21.197303311847243,-0.8534501168714643,-22.050753428718707
1974,knn,20.807527088603756,2.991912040884744,-17.81561504771901
1975,knn,18.320871349217903,0.8415036926147859,-17.479367656603117
1976,knn,26.973419324837064,7.555316763856669,-19.418102560980394
1977,knn,23.46231742708909,3.3443289298681114,-20.117988497220978
1978,knn,20.22577407157591,8.608522584273611,-11.617251487302298
1979,knn,22.941867667461064,1.5535632331711402,-21.388304434289925
1980,knn,23.81734305299408,10.332386196437074,-13.484956856557005
1981,knn,25.208423513192923,2.226817212283532,-22.98160630090939
1982,knn,22.486644813359593,4.5221339029369645,-17.96451091042263
1983,knn,23.70800869054524,0.48672871759879693,-23.22127997294644
1984,knn,20.19752489303021,-1.0630419874659827,-21.260566880496192
1985,knn,26.549010347664638,7.921706742982041,-18.627303604682595
1986,knn,26.403753788344908,1.6323765968310069,-24.7713771915139
1987,knn,29.89043479135068,2.4553362458378283,-27.43509854551285
1988,knn,23.26026713944421,-0.640544828494964,-23.900811967939173
1989,knn,27.146636327612583,-0.8414304256763977,-27.98806675328898
1990,knn,24.12096301280819,-1.5283662077979243,-25.649329220606113
1991,knn,26.393243116107925,-1.6654575469728248,-28.05870066308075
1992,knn,30.378435671430097,1.989181971752725,-28.389253699677372
1993,knn,34.564488298891526,8.811982969328291,-25.752505329563235
1994,knn,28.538428786911567,5.676513913359258,-22.86191487355231
1995,knn,28.832515891193175,-1.36636740781668,-30.198883299009854
1996,knn,27.51898803558513,4.440945833914763,-23.078042201670367
