ts_year,model,te_true,te_hat,error
1900,nn,15.08856624160038,25.087437,9.99887043442501
1901,nn,15.040553456514571,24.4851,9.444546335965898
1902,nn,14.970647447867396,24.107956,9.137308484749791
1903,nn,14.541708078011725,23.80442,9.262712393179681
1904,nn,15.301964713650628,24.44408,9.142115639132575
1905,nn,15.324423742295664,24.447832,9.123408365248281
1906,nn,15.699297940148847,24.901115,9.201817477331621
1907,nn,14.778999794116139,24.513428,9.734427940258861
1908,nn,14.482294379751643,24.66498,10.18268555494074
1909,nn,15.271045354385704,23.941616,8.670570703963906
1910,nn,14.903035838626694,24.98329,10.080253880001235
1911,nn,15.581982169801204,24.471786,8.889804329222233
1912,nn,15.470281535438668,23.570236,8.09995467061602
1913,nn,15.811648117483116,24.358166,8.54651762348368
1914,nn,15.53841318691662,23.668564,8.130150655856818
1915,nn,15.722687234800073,24.526487,8.803800115663794
1916,nn,16.22549477849375,25.058008,8.832513415475976
1917,nn,15.508088188601116,24.349852,8.841763419675251
1918,nn,15.835546037924589,24.356054,8.520508268105685
1919,nn,16.147376305225578,24.669046,8.521670096751961
1920,nn,16.790546238101104,25.730253,8.939706981503388
1921,nn,15.94879862771876,24.426447,8.477648286954091
1922,nn,16.009219464167458,23.833038,7.823818865910667
1923,nn,16.2286720484312,23.470057,7.241384485382277
1924,nn,16.70294034727319,24.792908,8.089967367570559
1925,nn,16.53325651117625,24.805029,8.271772404229022
1926,nn,17.387216320296854,25.648617,8.26140047047463
1927,nn,17.19246694016071,24.812216,7.619748864893001
1928,nn,18.021114376572424,24.764141,6.743026706191248
1929,nn,18.272069325827236,25.013674,6.741604456521397
1930,nn,17.258431021123407,24.459778,7.201346810907843
1931,nn,17.18687491853924,24.16823,6.981355138223456
1932,nn,17.372332551591974,24.570868,7.1985349868601745
1933,nn,18.052379957980033,24.387339,6.334958680325631
1934,nn,18.42285574409525,24.2768,5.853944411544397
1935,nn,18.47853022580181,25.598322,7.119791688871043
1936,nn,18.424116332317585,25.12931,6.7051942755925715
1937,nn,18.646906973166836,24.338839,5.691931604103672
1938,nn,18.641238227806216,24.12111,5.479872688331479
1939,nn,19.87060214953351,25.2863,5.415698509646177
1940,nn,17.75405438100015,23.649502,5.895447419536961
1941,nn,19.42617107769829,25.092028,5.6658565864862815
1942,nn,20.68967469249963,25.533798,4.844123525273808
1943,nn,19.024395189153534,24.49058,5.466184415949005
1944,nn,20.450602847974867,25.776407,5.325804393846422
1945,nn,20.309475601961697,24.794512,4.485036193082248
1946,nn,19.967700369458687,25.001036,5.033335320848931
1947,nn,20.443146953097962,25.164085,4.720938435085632
1948,nn,20.82811752667494,24.537735,3.7096174586766217
1949,nn,21.748473003201628,25.037848,3.2893745157192704
1950,nn,21.65695701659506,26.389433,4.732475890509431
1951,nn,23.22317778042497,25.303617,2.0804396969920234
1952,nn,22.344125061709224,25.17814,2.8340155785495647
1953,nn,22.2539897432517,25.378006,3.1240162381936116
1954,nn,22.924584482666404,25.406004,2.481419469359963
1955,nn,22.736213897165097,24.76231,2.0260961309110748
1956,nn,22.421068305417975,25.39843,2.9773615651874934
1957,nn,24.36443048861146,25.432577,1.0681466445672498
1958,nn,23.273202392446773,25.46248,2.189278152597172
1959,nn,23.016119727636543,26.217155,3.201035728906426
1960,nn,26.263617009428824,25.266804,-0.9968132679737458
1961,nn,24.43143708702092,25.942316,1.5108789682769306
1962,nn,24.807865597689414,25.51076,0.7028937559482813
1963,nn,26.172102382643153,24.828161,-1.34394114301913
1964,nn,26.22449963779567,25.169771,-1.0547284433376625
1965,nn,27.78419617898302,25.736816,-2.04737977273302
1966,nn,26.67962284034859,26.297716,-0.3819066996015188
1967,nn,27.431260356235125,25.815517,-1.6157429306980156
1968,nn,26.26104621286209,25.741505,-0.5195415436726378
1969,nn,27.720955644430944,26.549423,-1.1715324266575067
1970,nn,29.057774517325825,26.20257,-2.8552045557779735
1971,nn,29.379301208088314,26.66654,-2.712761062214291
1972,nn,28.227500687929997,26.00646,-2.2210404981106606
1973,nn,28.220673390323167,26.292679,-1.9279945573153547
1974,nn,30.737063770681186,26.823015,-3.9140485576684902
1975,nn,30.031755239710414,27.160507,-2.871248037561976
1976,nn,30.20841774845242,26.895655,-3.3127630701076924
1977,nn,31.846411488196107,25.81175,-6.034661076208803
1978,nn,30.2749626176798,27.283306,-2.991656495853629
1979,nn,31.93420536773781,27.60631,-4.32789547699074
1980,nn,31.417493534866246,27.358215,-4.059278202834996
1981,nn,32.73597689563027,25.97702,-6.758956631958398
1982,nn,32.92736274294112,26.324015,-6.603348079244832
1983,nn,33.31423794181525,25.615307,-7.698931087567203
1984,nn,33.816579652750974,26.93037,-6.886209321940427
1985,nn,35.82597730965861,26.71317,-9.112808211758221
1986,nn,34.27249495345775,26.385994,-7.886500995938221
1987,nn,34.80855208628218,26.973948,-7.834604561257763
1988,nn,33.339074691115066,27.161722,-6.177352507887527
1989,nn,36.51667008494727,28.684042,-7.832628108018561
1990,nn,37.40580864817838,26.936325,-10.469483574936191
1991,nn,37.57087051011583,26.328255,-11.2426158104088
1992,nn,39.76602772148983,27.861387,-11.90464046868221
1993,nn,39.518483825823736,26.540684,-12.977800079485846
1994,nn,38.1080140024928,27.87099,-10.237023249318973
1995,nn,37.77910744648507,26.838682,-10.940425271802454
1996,nn,38.69510587334706,26.49351,-12.201596580744521
1997,nn,38.63510795705208,26.860918,-11.774189912008133
1998,nn,39.16481934319819,26.252941,-12.911878211606393
1999,nn,41.79628781178817,28.9065,-12.88978794911727
