ts_year,model,te_true,te_hat,error
1900,nn,63.139223988901406,64.189545,1.0503206888329686
1901,nn,40.9253654347249,41.382294,0.4569282664469725
1902,nn,43.42158742166789,44.748096,1.3265090443965661
1903,nn,29.392993273376966,32.316895,2.923901257873034
1904,nn,32.608406022628735,28.996973,-3.6114329849090083
1905,nn,45.80608189065222,51.007084,5.201002002170043
1906,nn,31.487064491835735,40.4051,8.918037284287312
1907,nn,39.88244777055918,46.523537,6.6410889115697245
1908,nn,35.75811294408311,41.906887,6.14877411036025
1909,nn,26.974761593284903,29.717358,2.742596042213144
1910,nn,27.182317073221814,30.220304,3.0379874159139284
1911,nn,25.176798830232357,26.259092,1.0822935007002599
1912,nn,25.9381407430944,32.495686,6.557544834298177
1913,nn,36.826876789857565,38.59051,1.7636345321639197
1914,nn,33.281565872378216,39.387505,6.105938705258502
1915,nn,22.156711592457853,20.99981,-1.1569023273211343
1916,nn,9.556139998994796,19.941376,10.385235733427079
1917,nn,30.50840540861054,35.725616,5.217211046467586
1918,nn,32.01377481620522,30.169039,-1.8447360436222127
1919,nn,11.12971376784551,19.816196,8.68648267380488
1920,nn,8.780866470380488,12.079495,3.298628959612188
1921,nn,37.05546535412361,44.786617,7.731151924929122
1922,nn,10.043949885356547,14.177613,4.13366337300527
1923,nn,14.998182119899441,15.193111,0.19492929977829299
1924,nn,25.362148452574584,31.0542,5.6920507661754165
1925,nn,13.085109577490663,19.25089,6.165781154320861
1926,nn,12.404814811783325,16.548323,4.14350786582898
1927,nn,25.659569527954705,29.960339,4.300769064574592
1928,nn,16.171542092366238,22.009462,5.837920264201145
1929,nn,20.75993390965314,25.51831,4.758376637221861
1930,nn,17.554355837280013,25.580091,8.025735639160416
1931,nn,9.987298397609992,10.119445,0.13214644949694154
1932,nn,8.629513141763395,15.950456,7.320942523824984
1933,nn,14.296215086628411,19.216122,4.919906586955573
1934,nn,9.033582164745702,14.799283,5.765700862903223
1935,nn,15.89617999432961,20.86786,4.971680799737772
1936,nn,7.980411995784038,10.540788,2.5603757010543413
1937,nn,3.083888222669269,10.4048395,7.3209512930167655
1938,nn,-3.1823333008918966,-2.1617193,1.0206139786873067
1939,nn,-4.7417233497066595,0.7486444,5.490367761270533
1940,nn,11.552728059829027,8.501209,-3.051518800795824
1941,nn,8.000685982790559,10.4877825,2.4870964955419606
1942,nn,4.590246957565665,9.328921,4.738674360488535
1943,nn,8.576070100185454,10.542886,1.9668156801490184
1944,nn,-8.249384597451817,-3.3908415,4.858543113381993
1945,nn,6.0005574263563,12.807281,6.806723114110008
1946,nn,11.635254516909974,13.880747,2.24549232452069
1947,nn,-5.3748480403277386,-6.577537,-1.202689019456197
1948,nn,5.637147888454117,-2.6313517,-8.268499597819961
1949,nn,9.897765578950558,17.238853,7.341087875639285
1950,nn,4.072329663807092,10.1895685,6.117238855785193
1951,nn,1.0226555710031107,5.6498685,4.627212917308657
1952,nn,7.906883569692703,7.551454,-0.35542950246247873
1953,nn,-0.7649013240121382,-0.5443256,0.22057573387847118
1954,nn,-4.098497700865528,-1.8304251,2.268072557623646
1955,nn,9.764227474779117,10.208146,0.44391862049676156
1956,nn,3.922901397721699,3.5729449,-0.34995651818983875
1957,nn,14.345300099455574,15.419965,1.074664690888664
1958,nn,2.2735398652554553,-0.33705175,-2.6105916144848864
1959,nn,14.768269301151877,13.825376,-0.9428937442060761
1960,nn,0.22841886840693898,-3.5158026,-3.7442214902483695
1961,nn,7.903349644359051,8.546485,0.6431353028455389
1962,nn,6.32984030896643,3.4334183,-2.896422035040649
1963,nn,14.916250729874493,10.258817,-4.657434010819317
1964,nn,13.37031413652599,9.948864,-3.4214501533716923
1965,nn,14.597613961372188,12.41705,-2.1805635997388872
1966,nn,2.038233633792734,0.30258083,-1.7356528003576752
1967,nn,5.616515828652852,3.9049127,-1.7116031184630325
1968,nn,5.36630612201233,4.078426,-1.2878802377655036
1969,nn,8.412981829544366,11.902832,3.489850201705634
1970,nn,2.1264182245913963,-1.4490159,-3.575434080380581
1971,nn,4.124793524595612,1.2701862,-2.85460733875882
1972,nn,13.542439274823666,9.501675,-4.040764622724057
1973,nn,9.246470596019215,4.8570986,-4.389372016612477
1974,nn,-2.3256000843299365,-0.83140635,1.4941937294257617
1975,nn,1.9378856685862973,4.181584,2.2436982127918768
1976,nn,5.544953485233036,3.9232955,-1.6216579873387493
1977,nn,-8.16572932722014,-10.860537,-2.694807248097243
1978,nn,3.2305435787044967,6.8223543,3.591810738006929
1979,nn,2.0981819253512444,-2.051221,-4.149402819211108
1980,nn,24.3825478940828,15.338784,-9.043763676248329
1981,nn,15.031190313512132,15.145362,0.11417158681745754
1982,nn,4.648045047751149,3.0772774,-1.5707676257998546
1983,nn,2.9243686700909546,2.7470644,-0.17730431805543212
1984,nn,-8.33989573109207,-2.059757,6.280138736844634
1985,nn,4.355862620286838,5.1181245,0.7622618647290311
1986,nn,-1.1765279129040322,-2.1363785,-0.9598506137835898
1987,nn,9.722698188740543,10.765525,1.0428266754562348
1988,nn,-15.403967650262134,-12.563424,2.840543539849536
1989,nn,11.74711088236745,17.396587,5.649476489458722
1990,nn,-3.8497902935795363,6.987795,10.837585169678169
1991,nn,-10.592303065150334,1.9674896,12.559792665331914
1992,nn,0.22426090576684396,9.561581,9.33731975219214
1993,nn,11.990792083841539,5.401878,-6.588914203745103
1994,nn,2.125297784373146,13.8514185,11.726120710805077
1995,nn,-7.39814882251006,-3.0808642,4.317284631454762
1996,nn,-6.214261286211363,14.767657,20.981918566179623
1997,nn,0.8233536298494741,17.290585,16.46723093435951
1998,nn,10.77240374921262,22.436892,11.664487806573513
1999,nn,6.095373537654537,11.292127,5.196753117924076
