method,delta,rmse,bias,comp_time
DML-L,1,0.761,-0.099,7.764
DML-L,2,1.552,-1.445,8.086
DML-L,3,2.717,-0.307,8.084
DML-RF,1,0.666,-0.19,289.46
DML-RF,2,1.795,-0.919,266.079
DML-RF,3,3.874,0.606,249.263
GANITE,1,12.438,11.419,4.025
GANITE,2,2.89,2.122,4.189
GANITE,3,12.453,0.836,4.101
KNN,1,10.96,-10.643,3.804
KNN,2,22.755,-21.796,3.849
KNN,3,23.063,-21.063,3.51
TNet,1,2.426,-2.198,237.676
TNet,2,2.592,-2.433,250.505
TNet,3,1.841,-1.207,270.192
TWFE,1,3.155,-0.116,5.221
TWFE,2,6.03,-0.627,4.891
TWFE,3,7.323,-1.058,4.865
